Wavelength,F1,F2,FZ,F3,F4,FY,F5,FXL,F6,F7,F8,NIR
380,0.05126085226309665,-0.011815591765284579,4.502565047656652e-05,-2.4885855307682013e-05,-3.398167461254692e-05,3.592350879850999e-05,-3.738182363708259e-05,-2.815553323498159e-05,8.240864990339076e-06,-1.7910127130231826e-06,3.383360123494347e-07,-1.9207871217019274e-09
385,0.10257377699244159,-0.023322176094123362,-0.0002406583395763133,0.000264682850902902,-6.030232391701052e-05,6.953066793263752e-05,-7.31383177930137e-05,-5.4415492214699236e-05,1.590070816291602e-05,-3.4527441057434736e-06,6.521542550831104e-07,-3.702383006983166e-09
390,0.17575750313382052,-0.039847818788010685,-0.00022339078014273152,0.0002815326985830307,-7.489944484502188e-05,8.203381465340099e-05,-8.550044968824204e-05,-6.425130771731114e-05,1.879112351440109e-05,-4.082208289017222e-06,7.7110545979354e-07,-4.37768778957176e-09
395,0.2576473823097643,-0.05781980527869819,0.00097575676270675,-0.0008046031430900297,-3.377412358901334e-05,5.3129800708277525e-06,-2.5142968521080373e-07,-4.565865000096969e-06,1.4663731854065693e-06,-3.333960100625465e-07,6.34478540135344e-08,-3.6020324228940476e-10
400,0.32210298600148124,-0.0667383772556012,0.004050012125647702,-0.0036674166463293396,0.00011035664360041904,-0.00022656479151494146,0.0002535798872092984,0.00017609778998064392,-5.1063146725670346e-05,1.1043275898853493e-05,-2.084430640891633e-06,1.183364366914716e-08
405,0.340338464792608,-0.045994768838472345,0.008020056875919262,-0.007442859826504153,0.0003529549758645107,-0.0005815088805094274,0.0006380905336294208,0.0004529492689367595,-0.0001316585955009434,2.85095820421743e-05,-5.382369173598296e-06,3.0556563622666555e-08
410,0.2970398941392693,0.030003100976765673,0.009785630115741049,-0.009299156437647105,0.000604764264894517,-0.0008834401210670546,0.0009569569711556807,0.0006890786790633101,-0.00020060322455982708,4.347417581631084e-05,-8.208680183452103e-06,4.6601978923828953e-08
415,0.20224916839389714,0.16503701893932923,0.00800426969636975,-0.007998518940631225,0.0007823128314753139,-0.0010061766206189303,0.0010727279279940955,0.000786104125609001,-0.000229268803091386,4.9734209801424736e-05,-9.392202182030735e-06,5.332102005459032e-08
420,0.09007249484098875,0.30686266037799936,0.009383145924183324,-0.009687978173298894,0.000976533491028935,-0.001211370504444188,0.0012837205279030866,0.000946896265353641,-0.00027631788068274986,5.99575672646332e-05,-1.1323409079988047e-05,6.428478713448692e-08
425,0.0006825465588903827,0.3639236628360369,0.02684772772547341,-0.0261839349754509,0.001407973043281419,-0.002058599507836438,0.0022239711428929413,0.0016056841287548779,-0.0004674328316803338,0.00010129856330978442,-1.9126857606315796e-05,1.0858620259436243e-07
430,-0.04479126816836584,0.2887202867712112,0.06594546720425837,-0.062314698759027176,0.0020620762259359413,-0.003691616563395193,0.0040696916298360725,0.0028730433221182947,-0.000834300070170311,0.0001805668635026472,-3.408650603881333e-05,1.9351450222881734e-07
435,-0.05386337220457454,0.13016265516680842,0.11589041159342574,-0.10729248592099228,0.0024536403842336505,-0.0054074168017479605,0.006064930713889025,0.00420057560412198,-0.0012172572845268448,0.00026316009075872076,-4.966880050533798e-05,2.819776653655388e-07
440,-0.0475758589181362,-0.019978512870665804,0.15843393539512884,-0.14214502087943526,0.0018890706988844777,-0.006244775213322326,0.007188590493466565,0.004837979284291835,-0.0013977129179251634,0.00030168893151226667,-5.6925286781568715e-05,3.2317390039899033e-07
445,-0.04045520802384996,-0.10957692798177499,0.18180526673084804,-0.15168272286788245,-0.00011587001979357738,-0.005876910544120274,0.007160651711586689,0.004526593257942504,-0.0012991657576984792,0.0002794415863538088,-5.26962734320798e-05,2.9916514343015955e-07
450,-0.03548665420806914,-0.14064857889779142,0.18342417543886444,-0.1270158260648345,-0.00370905747190786,-0.004792721457163813,0.006636635295863825,0.003640800383123988,-0.001028381609504572,0.0002193085751142288,-4.1296024946477195e-05,2.3444416671691272e-07
455,-0.030455910691522377,-0.13450883022960086,0.16491430758719808,-0.06354624324634695,-0.008769946903347415,-0.003742486455611655,0.006531779020780325,0.002760145654906097,-0.000752264103882644,0.00015725908827637013,-2.9509740465728346e-05,1.675316286872338e-07
460,-0.02363089318247827,-0.10768940125719667,0.12972011393816693,0.035519884315508274,-0.014871330677882957,-0.0029429869999896747,0.007012472445952651,0.002057685399453038,-0.0005224653877941602,0.00010462917596499269,-1.9482381467854013e-05,1.1060481116915215e-07
465,-0.015258303213946691,-0.0709563255862536,0.08447422640651492,0.15220185797950772,-0.02105235545945285,-0.001522723775398044,0.0067402598490909705,0.0008757336889730764,-0.00015458625945694398,2.224346376389266e-05,-3.841969855272614e-06,2.181179864413519e-08
470,-0.006974330298912551,-0.03403752873791731,0.039376120775073936,0.25399698282630145,-0.025498212744730592,0.0022323947944449815,0.003105451845034979,-0.002080937080242551,0.0007150834211907596,-0.00016723359870758056,3.196654749253153e-05,-1.814788050251644e-07
475,-0.0006796076991567592,-0.005787551427493926,0.004940904040932861,0.30726627597817935,-0.02530917100567206,0.009585478752035708,-0.006190149071364689,-0.007745927856626868,0.0023418215579914916,-0.0005172867939398518,9.79836094378297e-05,-5.56268227078585e-07
480,0.002556071366674175,0.008990476869749263,-0.012988058251468131,0.29636927020479675,-0.016657310902589262,0.01978242031930108,-0.021111642020452098,-0.015485663811371578,0.004526631419169023,-0.0009831641370233526,0.000185707578459919,-1.0542913754454224e-06
485,0.0030007233803273706,0.01145269760830685,-0.01580108847644191,0.23293069068975955,0.004322478611490676,0.029695709793247975,-0.03862370591900395,-0.022832479005227606,0.006541937819488756,-0.0014061394840194346,0.0002651348273814674,-1.505212919046589e-06
